shitTime,Temperature,Humidity,Scored Probabilities
2021-04-06T18:50:32.8960000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:50:53.0400000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:51:13.1990000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:51:33.3580000Z,25.3,20,9.9028206022922E-05
2021-04-06T18:51:53.7860000Z,25.3,21,9.9028206022922E-05
2021-04-06T18:52:13.9490000Z,25.2,21,9.9028206022922E-05
2021-04-06T18:52:34.1110000Z,25.2,21,9.9028206022922E-05
2021-04-06T18:52:54.2730000Z,25.2,21,9.9028206022922E-05
2021-04-06T18:53:14.6070000Z,25.2,21,9.9028206022922E-05
2021-04-06T18:53:34.8590000Z,25.2,20,9.9028206022922E-05
2021-04-06T18:53:55.0010000Z,25.2,20,9.9028206022922E-05
2021-04-06T18:54:22.5370000Z,25.2,20,9.9028206022922E-05
2021-04-06T18:54:42.7460000Z,25.2,20,9.9028206022922E-05
2021-04-06T18:55:02.8900000Z,25.2,20,9.9028206022922E-05
2021-04-06T18:55:23.0530000Z,25.2,20,9.9028206022922E-05
2021-04-06T18:55:43.1950000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:56:03.3530000Z,25.1,21,9.9028206022922E-05
2021-04-06T18:56:23.4980000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:56:43.7510000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:57:03.9280000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:57:24.0570000Z,25.1,21,9.9028206022922E-05
2021-04-06T18:57:44.2020000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:58:04.4540000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:58:24.8190000Z,25.1,21,9.9028206022922E-05
2021-04-06T18:58:44.9590000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:59:05.1210000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:59:25.3740000Z,25.1,20,9.9028206022922E-05
2021-04-06T18:59:45.5350000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:00:05.8880000Z,25.2,20,9.9028206022922E-05
2021-04-06T19:00:26.0320000Z,25.1,21,9.9028206022922E-05
2021-04-06T19:00:46.1780000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:01:06.3410000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:01:26.4880000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:01:46.6450000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:02:06.7930000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:02:26.9500000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:02:47.0940000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:03:07.2510000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:03:27.4130000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:03:47.5570000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:04:07.7160000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:04:27.8610000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:04:48.0360000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:05:08.1800000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:05:28.3210000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:05:48.4820000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:06:08.6250000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:06:28.7840000Z,25,20,9.9028206022922E-05
2021-04-06T19:06:48.9280000Z,25,20,9.9028206022922E-05
2021-04-06T19:07:09.0880000Z,25,20,9.9028206022922E-05
2021-04-06T19:07:29.2290000Z,25,20,9.9028206022922E-05
2021-04-06T19:07:49.3900000Z,25,20,9.9028206022922E-05
2021-04-06T19:08:09.5360000Z,25,20,9.9028206022922E-05
2021-04-06T19:08:29.6970000Z,25,20,9.9028206022922E-05
2021-04-06T19:08:49.8410000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:09:10.0150000Z,25,20,9.9028206022922E-05
2021-04-06T19:09:30.1430000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:09:50.5050000Z,25.1,20,9.9028206022922E-05
2021-04-06T19:10:10.6500000Z,25,20,9.9028206022922E-05
2021-04-06T19:10:30.8080000Z,25,20,9.9028206022922E-05
2021-04-06T19:10:50.9530000Z,25,20,9.9028206022922E-05
2021-04-06T19:11:11.1120000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:11:31.2570000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:11:51.4020000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:12:11.5660000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:12:31.7130000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:12:51.8710000Z,24.9,21,9.9028206022922E-05
2021-04-06T19:13:12.0140000Z,24.9,21,9.9028206022922E-05
2021-04-06T19:13:32.1750000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:13:52.3190000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:14:12.4830000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:14:32.7370000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:14:53.0830000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:15:13.2420000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:15:33.4050000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:15:53.6460000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:16:13.7890000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:16:33.9460000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:16:54.0970000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:17:14.2430000Z,24.9,20,9.9028206022922E-05
2021-04-06T19:17:34.7040000Z,24.9,20,9.9028206022922E-05
